input,time
1000,5
2000,2
3000,6
4000,5
5000,7
6000,11
7000,14
8000,18
9000,24
10000,29
11000,38
12000,41
13000,49
14000,57
15000,64
16000,72
17000,82
18000,90
19000,105
20000,107
21000,126
22000,128
23000,139
24000,155
25000,166
26000,181
27000,193
28000,208
29000,223
30000,238
31000,255
32000,270
33000,289
34000,307
35000,325
36000,355
37000,363
38000,383
39000,402
40000,423
41000,454
42000,465
43000,487
44000,513
45000,537
46000,563
47000,587
48000,618
49000,632
50000,667
51000,692
52000,714
53000,738
54000,765
55000,795
56000,825
57000,853
58000,886
59000,914
60000,946
61000,977
62000,1010
63000,1043
64000,1077
65000,1109
66000,1143
67000,1177
68000,1213
69000,1250
70000,1287
71000,1331
72000,1377
73000,1417
74000,1448
75000,1487
76000,1529
77000,1566
78000,1615
79000,1653
80000,1681
81000,1722
82000,1765
83000,1813
84000,1852
85000,1894
86000,1952
87000,1985
88000,2034
89000,2080
90000,2126
91000,2174
92000,2243
93000,2300
94000,2333
95000,2374
96000,2432
97000,2475
98000,2529
99000,2574
100000,2627
101000,2677
102000,2734
103000,2787
104000,2841
105000,2894
106000,2952
107000,3007
108000,3063
109000,3122
110000,3179
111000,3235
112000,3291
113000,3354
114000,3415
115000,3474
116000,3534
117000,3599
118000,3656
119000,3717
120000,3783
121000,3845
122000,3910
123000,3973
124000,4044
125000,4115
126000,4218
127000,4271
128000,4348
129000,4402
130000,4444
131000,4519
132000,4595
133000,4642
134000,4719
135000,4786
136000,4859
137000,4929
138000,5017
139000,5281
140000,5366
141000,5401
142000,5554
143000,5792
144000,5649
145000,5674
146000,5648
147000,5717
148000,5749
149000,5950
150000,6016
151000,6003
152000,6057
153000,6160
154000,6263
155000,6300
156000,6449
157000,6545
158000,6562
159000,6655
160000,6764
161000,6834
162000,6888
163000,6977
164000,7063
165000,7147
166000,7232
167000,7323
168000,7409
169000,7578
170000,7588
171000,7695
172000,7768
173000,7929
174000,7947
175000,8042
176000,8136
177000,8227
178000,8320
179000,8415
180000,8502
181000,8599
182000,8723
183000,8793
184000,8904
185000,8989
186000,9085
187000,9192
188000,9280
189000,9380
190000,9529
191000,9623
192000,9687
193000,9785
194000,9881
195000,9989
196000,10088
197000,10194
198000,10300
199000,10398
200000,10507
