input,time
1000,5
2000,0
3000,4
4000,2
5000,2
6000,3
7000,4
8000,5
9000,7
10000,8
11000,10
12000,12
13000,14
14000,16
15000,23
16000,21
17000,24
18000,27
19000,30
20000,31
21000,38
22000,39
23000,44
24000,48
25000,63
26000,57
27000,63
28000,71
29000,76
30000,70
31000,75
32000,83
33000,84
34000,88
35000,95
36000,98
37000,107
38000,110
39000,115
40000,121
41000,127
42000,133
43000,140
44000,147
45000,153
46000,161
47000,166
48000,175
49000,182
50000,191
51000,197
52000,205
53000,211
54000,237
55000,232
56000,238
57000,245
58000,259
59000,268
60000,273
61000,287
62000,295
63000,321
64000,309
65000,321
66000,330
67000,339
68000,352
69000,362
70000,371
71000,382
72000,392
73000,405
74000,415
75000,426
76000,443
77000,450
78000,464
79000,474
80000,489
81000,500
82000,525
83000,526
84000,546
85000,551
86000,567
87000,594
88000,594
89000,612
90000,620
91000,638
92000,649
93000,666
94000,681
95000,696
96000,710
97000,728
98000,739
99000,756
100000,772
101000,790
102000,804
103000,822
104000,837
105000,854
106000,876
107000,944
108000,909
109000,941
110000,941
111000,957
112000,972
113000,993
114000,1059
115000,1044
116000,1091
117000,1072
118000,1090
119000,1118
120000,1123
121000,1136
122000,1160
123000,1175
124000,1200
125000,1232
126000,1243
127000,1266
128000,1285
129000,1315
130000,1323
131000,1356
132000,1360
133000,1386
134000,1410
135000,1432
136000,1441
137000,1491
138000,1495
139000,1518
140000,1538
141000,1556
142000,1581
143000,1611
144000,1656
145000,1656
146000,1695
147000,1739
148000,1730
149000,1799
150000,1893
151000,1863
152000,1852
153000,1851
154000,1883
155000,1935
156000,2040
157000,1987
158000,2118
159000,1996
160000,2139
161000,2038
162000,2101
163000,2151
164000,2127
165000,2162
166000,2194
167000,2203
168000,2237
169000,2262
170000,2291
171000,2313
172000,2342
173000,2382
174000,2408
175000,2415
176000,2459
177000,2492
178000,2500
179000,2532
180000,2567
181000,2620
182000,2624
183000,2651
184000,2778
185000,2796
186000,2794
187000,2814
188000,2790
189000,2827
190000,2887
191000,2915
192000,2986
193000,2970
194000,3007
195000,3017
196000,3077
197000,3131
198000,3114
199000,3201
200000,3176
