input,time
1000,4
2000,2
3000,4
4000,2
5000,2
6000,3
7000,4
8000,6
9000,7
10000,8
11000,10
12000,13
13000,13
14000,17
15000,18
16000,21
17000,31
18000,44
19000,30
20000,33
21000,36
22000,44
23000,47
24000,47
25000,64
26000,68
27000,69
28000,69
29000,67
30000,69
31000,74
32000,79
33000,84
34000,88
35000,93
36000,98
37000,105
38000,110
39000,120
40000,121
41000,127
42000,135
43000,140
44000,146
45000,154
46000,160
47000,176
48000,175
49000,182
50000,189
51000,197
52000,208
53000,214
54000,225
55000,231
56000,237
57000,252
58000,256
59000,264
60000,280
61000,284
62000,290
63000,300
64000,311
65000,323
66000,329
67000,339
68000,354
69000,360
70000,373
71000,390
72000,401
73000,406
74000,414
75000,427
76000,437
77000,450
78000,464
79000,476
80000,489
81000,501
82000,520
83000,525
84000,539
85000,551
86000,572
87000,610
88000,603
89000,609
90000,633
91000,639
92000,652
93000,668
94000,678
95000,696
96000,709
97000,725
98000,743
99000,760
100000,774
101000,794
102000,807
103000,820
104000,836
105000,856
106000,869
107000,884
108000,906
109000,928
110000,941
111000,958
112000,973
113000,1007
114000,1009
115000,1026
116000,1046
117000,1068
118000,1090
119000,1104
120000,1127
121000,1141
122000,1159
123000,1182
124000,1200
125000,1218
126000,1242
127000,1256
128000,1309
129000,1331
130000,1319
131000,1344
132000,1360
133000,1383
134000,1408
135000,1425
136000,1462
137000,1468
138000,1489
139000,1517
140000,1535
141000,1552
142000,1594
143000,1598
144000,1627
145000,1651
146000,1667
147000,1690
148000,1722
149000,1748
150000,1763
151000,1792
152000,1811
153000,1834
154000,1860
155000,1885
156000,1911
157000,1936
158000,1957
159000,1989
160000,2021
161000,2040
162000,2072
163000,2161
164000,2199
165000,2225
166000,2231
167000,2251
168000,2288
169000,2313
170000,2317
171000,2309
172000,2330
173000,2353
174000,2379
175000,2421
176000,2437
177000,2471
178000,2493
179000,2540
180000,2543
181000,2574
182000,2609
183000,2643
184000,2662
185000,2704
186000,2746
187000,2753
188000,2806
189000,2825
190000,2840
191000,2891
192000,2926
193000,2945
194000,2971
195000,3012
196000,3036
197000,3066
198000,3095
199000,3125
200000,3161
