input,time
1000000,118
2000000,209
3000000,347
4000000,387
5000000,622
6000000,632
7000000,831
8000000,718
9000000,1063
10000000,1262
11000000,1231
12000000,1280
13000000,1435
14000000,1431
15000000,1621
16000000,1581
17000000,2244
18000000,2260
19000000,2385
20000000,2401
21000000,2516
22000000,2550
23000000,2704
24000000,2674
25000000,2708
26000000,3026
27000000,2980
28000000,3041
29000000,3049
30000000,3375
31000000,3254
32000000,3375
33000000,3282
34000000,4554
35000000,4810
36000000,4828
37000000,4948
38000000,4936
39000000,4979
40000000,4987
41000000,4995
42000000,5234
43000000,5308
44000000,5602
45000000,5693
46000000,5534
47000000,5612
48000000,5598
49000000,5692
50000000,6219
51000000,6618
52000000,6775
53000000,6420
54000000,6612
55000000,6566
56000000,6419
57000000,6532
58000000,6602
59000000,6971
60000000,6668
61000000,6760
62000000,6759
63000000,6853
64000000,6924
65000000,6778
66000000,6994
67000000,7106
68000000,9684
69000000,9694
70000000,10017
71000000,10049
72000000,9865
73000000,9775
74000000,10017
75000000,9979
76000000,10412
77000000,10451
78000000,10985
79000000,10686
80000000,10611
81000000,10549
82000000,11405
83000000,10774
84000000,11553
85000000,11102
86000000,11047
87000000,11421
88000000,11333
89000000,11876
90000000,11912
91000000,11883
92000000,11543
93000000,11975
94000000,11814
95000000,11971
96000000,12347
97000000,12325
98000000,12407
99000000,12386
100000000,12435
