input,time
1000000,65
2000000,96
3000000,133
4000000,148
5000000,280
6000000,255
7000000,379
8000000,236
9000000,346
10000000,463
11000000,403
12000000,428
13000000,466
14000000,460
15000000,553
16000000,541
17000000,711
18000000,697
19000000,780
20000000,773
21000000,806
22000000,835
23000000,869
24000000,910
25000000,947
26000000,986
27000000,1001
28000000,986
29000000,1079
30000000,1040
31000000,1119
32000000,1085
33000000,1163
34000000,1483
35000000,1456
36000000,1562
37000000,1545
38000000,1597
39000000,1604
40000000,1774
41000000,1731
42000000,1829
43000000,1902
44000000,1841
45000000,1985
46000000,1950
47000000,2014
48000000,1950
49000000,2065
50000000,1970
51000000,2096
52000000,2286
53000000,2325
54000000,2394
55000000,2335
56000000,2533
57000000,2463
58000000,2362
59000000,2278
60000000,2423
61000000,2360
62000000,2368
63000000,2483
64000000,2467
65000000,2493
66000000,2515
67000000,2861
68000000,3252
69000000,3185
70000000,3235
71000000,3356
72000000,3296
73000000,3373
74000000,3496
75000000,3330
76000000,3626
77000000,3523
78000000,3476
79000000,3631
80000000,3682
81000000,3704
82000000,3543
83000000,3865
84000000,3746
85000000,3645
86000000,3735
87000000,3904
88000000,4009
89000000,3882
90000000,4088
91000000,3989
92000000,3997
93000000,4003
94000000,4075
95000000,4108
96000000,4127
97000000,4220
98000000,4216
99000000,4196
100000000,4245
