input,time
1000000,60
2000000,85
3000000,130
4000000,166
5000000,283
6000000,239
7000000,363
8000000,217
9000000,340
10000000,469
11000000,387
12000000,424
13000000,455
14000000,447
15000000,542
16000000,531
17000000,706
18000000,667
19000000,749
20000000,755
21000000,790
22000000,794
23000000,837
24000000,877
25000000,908
26000000,963
27000000,963
28000000,934
29000000,1052
30000000,981
31000000,1064
32000000,1046
33000000,1119
34000000,1411
35000000,1571
36000000,1476
37000000,1551
38000000,1584
39000000,1569
40000000,1626
41000000,1727
42000000,1647
43000000,1744
44000000,1822
45000000,1756
46000000,1825
47000000,1882
48000000,1919
49000000,1962
50000000,1884
51000000,2078
52000000,2045
53000000,2109
54000000,2142
55000000,2201
56000000,2221
57000000,2127
58000000,2348
59000000,2497
60000000,2536
61000000,2295
62000000,2438
63000000,2390
64000000,2363
65000000,2523
66000000,2502
67000000,2424
68000000,3122
69000000,3086
70000000,3011
71000000,3184
72000000,3221
73000000,3116
74000000,3781
75000000,3537
76000000,3343
77000000,3898
78000000,3628
79000000,3463
80000000,3686
81000000,4012
82000000,3793
83000000,4203
84000000,3773
85000000,3645
86000000,3813
87000000,3949
88000000,3893
89000000,3615
90000000,3847
91000000,3817
92000000,3915
93000000,3913
94000000,3945
95000000,3998
96000000,3976
97000000,4167
98000000,4338
99000000,4210
100000000,4235
